actor;platform;year
 eric yellin;as5797;2021
kierney nelson;as5798;2017
 deborah hurm;as5798;2017
 blythe scott;as5798;2017
francois demachy;as5799;2021
 erin flaherty;as5799;2021
 virginie ledoyen;as5799;2021
 eddie bulliqi;as5799;2021
sridevi;as5800;1986
 rishi kapoor;as5800;1986
 komal mahuvakar;as5800;1986
 amrish puri;as5800;1986
 sushma seth;as5800;1986
 prem chopra;as5800;1986
 guddi maruti;as5800;1986
kad merad;as5801;2011
 michelle laroque;as5801;2011
 vincent perez;as5801;2011
 judith el zein;as5801;2011
 gaspard meier-chaurand;as5801;2011
paul tylak;as5802;2020
 jody o'neill;as5802;2020
 morgan c jones;as5802;2020
 giles new;as5802;2020
akshay kumar;as5803;2006
 karisma kapoor;as5803;2006
 ameesha patel;as5803;2006
 gulshan grover;as5803;2006
 ashish vidyarthi;as5803;2006
amanda donohoe;as5804;2002
 gregor toerzs;as5804;2002
 tony lo bianco;as5804;2002
 karen leblanc;as5804;2002
sean young;as5805;2003
 peter deluise;as5805;2003
 ursula karven;as5805;2003
 lloyd bochner;as5805;2003
corbin bernsen;as5806;2021
 amanda pays;as5806;2021
 cameron protzman;as5806;2021
jeremy hoffman;as5807;2016
 kev abrams;as5807;2016
 jesse grotholson;as5807;2016
 kristen terry;as5807;2016
 matt bittner;as5807;2016
spence moore ii;as5808;2020
 nicci carr;as5808;2020
lea;as5809;2021
 pop;as5809;2021
lea;as5810;2021
 pop;as5810;2021
estelle halimi;as5811;2018
 andréa-laure finot;as5811;2018
 timothy cordukes;as5811;2018
lb;as5812;2018
 aaron michael;as5812;2018
daniel radcliffe;as5813;2017
 thomas kretschmann;as5813;2017
 joel jackson;as5813;2017
 yasmin kassim;as5813;2017
abhishek bachchan;as5814;2007
 preity zinta;as5814;2007
 lara dutta;as5814;2007
 amitabh bachchan;as5814;2007
 bobby deol;as5814;2007
 piyush mishra;as5814;2007
 ameet chana;as5814;2007
clancy brown;as5815;1986
 sean connery;as5815;1986
 roxanne hart;as5815;1986
 christopher lambert;as5815;1986
giovanna landolfi;as5816;2020
 ciro esposito;as5816;2020
yvonne strahovski;as5817;2018
 justin bruening;as5817;2018
matthew atkinson;as5818;2018
 lexi johnson;as5818;2018
 amy paffrath;as5818;2018
 harry van gorkum;as5818;2018
 eric etebari;as5818;2018
ed hill;as5819;2021
swapnil joshi;as5820;2013
 sai tamhankar;as5820;2013
 ankush chaudhari;as5820;2013
 urmilla kanetkar;as5820;2013
 jitendra joshi;as5820;2013
 sushant shellar;as5820;2013
 richa pariyalli;as5820;2013
 sandeep kulkarni;as5820;2013
 anand abhyankar;as5820;2013
 nagesh bhonsle;as5820;2013
 shrirang deshmukh;as5820;2013
 ajinkya joshi;as5820;2013
 varsha usgaonkar;as5820;2013
 rajesh bhosle;as5820;2013
christian velky;as5821;2019
 marikah cunningham;as5821;2019
 cody laper;as5821;2019
 shadia martin;as5821;2019
cinzia monreale;as5822;2021
 giovanni lombardo radice;as5822;2021
 marina loi;as5822;2021
 veronica urban;as5822;2021
 lorenzo lepori;as5822;2021
joe ricci;as5823;2016
 michelle palermo;as5823;2016
 anthony pavelich;as5823;2016
 scott anthony leet;as5823;2016
